iter	RMSE
0	3.949351191
1	3.854114231
2	3.755551057
3	3.664482992
4	3.57851147
5	3.497629843
6	3.423284531
7	3.360290147
8	3.296776097
9	3.237787078
10	3.175605221
11	3.119665596
12	3.066777233
13	3.023790716
14	2.979179007
15	2.937188631
16	2.898084456
17	2.86465516
18	2.830302427
19	2.802750455
20	2.771869733
21	2.744750622
22	2.718655229
23	2.693738969
24	2.671372595
25	2.650410978
26	2.630950526
27	2.611352285
28	2.593468773
29	2.577815003
30	2.562143651
31	2.55129559
32	2.53724348
33	2.527033517
34	2.516993146
35	2.507372592
36	2.497390278
37	2.48776763
38	2.479650379
39	2.475124216
40	2.467272334
41	2.46043348
42	2.454157199
43	2.447538705
44	2.441643779
45	2.436271221
46	2.430365316
47	2.426373993
48	2.421807969
49	2.416742116
50	2.412529152
51	2.408583343
52	2.405899858
53	2.40207569
54	2.398677687
55	2.394955824
56	2.391588295
57	2.389220923
58	2.38690623
59	2.384120201
60	2.381386542
61	2.378989591
62	2.376378924
63	2.373772704
64	2.371786198
65	2.370111175
66	2.368470785
67	2.366247384
68	2.364753519
69	2.36330066
70	2.361623265
71	2.359855534
72	2.358331691
73	2.357280897
74	2.355941354
75	2.354559825
76	2.353170476
77	2.350901525
78	2.349680518
79	2.348146517
80	2.346442923
81	2.345621979
82	2.344114473
83	2.34303957
84	2.342099676
85	2.341270569
86	2.339998938
87	2.338802898
88	2.33759487
89	2.337223412
90	2.336167348
91	2.33492311
92	2.334016252
93	2.333221949
94	2.332018908
95	2.331340338
96	2.33047147
97	2.329435982
98	2.32880588
99	2.327867387
100	2.327115169
101	2.326353068
102	2.325597463
103	2.324692724
104	2.324186565
105	2.323377292
106	2.322074419
107	2.321084047
108	2.320961048
109	2.320372025
110	2.319562685
111	2.318950287
112	2.317650846
113	2.316502766
114	2.31605934
115	2.314782819
116	2.314521519
117	2.314417576
118	2.313707898
119	2.313516561
120	2.31226855
121	2.311605888
122	2.310985714
123	2.310301537
124	2.30910541
125	2.308611506
126	2.308032547
127	2.307516969
128	2.306594119
129	2.305079058
130	2.304458916
131	2.303716652
132	2.302758809
133	2.302083712
134	2.301665349
135	2.301077337
136	2.300745427
137	2.299580629
138	2.298723372
139	2.297830455
140	2.296713931
141	2.296156209
142	2.295172685
143	2.294304171
144	2.293479674
145	2.292271186
146	2.29150123
147	2.290345467
148	2.289483119
149	2.288919114
150	2.2878212
151	2.287047067
152	2.286638282
153	2.285486978
154	2.284840854
155	2.283983479
156	2.283425988
157	2.282111519
158	2.281609448
159	2.280717462
160	2.280308145
161	2.279667809
162	2.278660729
163	2.27684176
164	2.276343104
165	2.27546199
166	2.274499028
167	2.273827551
168	2.27280746
169	2.272105381
170	2.271267337
171	2.270482362
172	2.269881712
173	2.269243564
174	2.268250516
175	2.267205284
176	2.265907695
177	2.265406422
178	2.264745916
179	2.264075827
180	2.262878047
181	2.262087206
182	2.261249756
183	2.260485046
184	2.260171779
185	2.259027989
186	2.258647053
187	2.257983605
188	2.25759202
189	2.256951329
190	2.255818399
191	2.255121737
192	2.254763181
193	2.25429478
194	2.253454188
195	2.253231703
196	2.252901534
197	2.252409008
198	2.251926491
199	2.251603123
200	2.251282455
201	2.251012661
202	2.250282576
203	2.249860717
204	2.248949782
205	2.248431719
206	2.247660635
207	2.247240075
208	2.246693529
209	2.246429188
210	2.246055636
211	2.245349476
212	2.245248676
213	2.244744021
214	2.243646276
215	2.242888457
216	2.241282764
217	2.240192711
218	2.239259336
219	2.238941064
220	2.238227049
221	2.237712063
222	2.236751823
223	2.235765678
224	2.235137717
225	2.234077534
226	2.233010395
227	2.2324891
228	2.231924079
229	2.231242057
230	2.230256651
231	2.229759444
232	2.229506087
233	2.228316736
234	2.227577339
235	2.226527031
236	2.226162262
237	2.225883373
238	2.224594114
239	2.224203374
240	2.223108261
241	2.222476773
242	2.222120203
243	2.22141209
244	2.220896843
245	2.220115514
246	2.219515977
247	2.218471111
248	2.217458084
249	2.216558904
250	2.215806291
251	2.215222739
252	2.214144986
253	2.213167678
254	2.212063493
255	2.21149232
256	2.21053937
