iter	Passed	Remaining
0	142	142301
1	144	72186
2	146	48730
3	149	37257
4	151	30093
5	152	25340
6	154	21924
7	157	19487
8	159	17512
9	161	15962
10	163	14715
11	165	13621
12	167	12679
13	168	11883
14	170	11226
15	173	10653
16	174	10118
17	176	9637
18	178	9208
19	180	8825
20	182	8504
21	184	8216
22	186	7934
23	189	7698
24	191	7450
25	192	7222
26	194	7014
27	197	6871
28	200	6696
29	201	6529
30	203	6376
31	206	6245
32	208	6118
33	210	5986
34	212	5865
35	214	5755
36	217	5653
37	219	5564
38	224	5521
39	226	5428
40	227	5332
41	229	5241
42	231	5155
43	233	5074
44	235	4994
45	237	4919
46	239	4864
47	241	4793
48	243	4730
49	245	4672
50	247	4605
51	249	4542
52	251	4485
53	252	4431
54	255	4392
55	257	4334
56	258	4280
57	260	4231
58	262	4179
59	263	4127
60	265	4079
61	266	4033
62	268	3987
63	270	3951
64	272	3919
65	274	3878
66	275	3840
67	277	3803
68	279	3769
69	281	3733
70	282	3700
71	284	3664
72	285	3631
73	287	3600
74	289	3568
75	290	3536
76	292	3506
77	294	3476
78	295	3446
79	297	3418
80	298	3390
81	300	3364
82	302	3339
83	304	3317
84	306	3294
85	308	3274
86	309	3251
87	311	3227
88	312	3203
89	314	3182
90	316	3161
91	319	3156
92	321	3136
93	323	3115
94	324	3095
95	326	3077
96	328	3055
97	329	3034
98	331	3015
99	332	2996
100	334	2980
101	336	2965
102	338	2951
103	340	2934
104	342	2916
105	343	2900
106	345	2883
107	347	2867
108	348	2850
109	350	2834
110	352	2825
111	354	2809
112	356	2795
113	357	2780
114	359	2765
115	360	2749
116	362	2735
117	364	2721
118	365	2709
119	367	2696
120	369	2683
121	371	2671
122	373	2659
123	374	2647
124	376	2635
125	377	2621
126	379	2609
127	381	2597
128	395	2667
129	396	2654
130	398	2641
131	399	2629
132	401	2617
133	403	2606
134	405	2595
135	406	2583
136	408	2572
137	410	2561
138	411	2550
139	413	2539
140	414	2527
141	416	2515
142	417	2503
143	419	2491
144	420	2481
145	422	2471
146	424	2462
147	425	2451
148	427	2441
149	429	2431
150	430	2421
151	432	2413
152	434	2405
153	436	2396
154	437	2386
155	439	2377
156	441	2369
157	442	2360
158	444	2351
159	446	2341
160	447	2332
161	451	2336
162	453	2327
163	454	2319
164	456	2310
165	457	2300
166	459	2291
167	461	2283
168	462	2273
169	464	2266
170	466	2259
171	467	2251
172	469	2244
173	471	2237
174	473	2231
175	474	2223
176	476	2215
177	477	2207
178	479	2198
179	480	2190
180	482	2182
181	484	2176
182	485	2168
