日期,成交商品件数
2016-06-01,12563
2016-06-02,10664
2016-06-03,10799
2016-06-04,18214
2016-06-05,12680
2016-06-06,12907
2016-06-07,13973
2016-06-08,11414
2016-06-09,9802
2016-06-10,12192
2016-06-11,13583
2016-06-12,16541
2016-06-13,29154
2016-06-14,23745
2016-06-15,24536
2016-06-16,24346
2016-06-17,28087
2016-06-18,100217
2016-06-19,42483
2016-06-20,35707
2016-06-21,22786
2016-06-22,35156
2016-06-23,26922
2016-06-24,23489
2016-06-25,20320
2016-06-26,19119
2016-06-27,18082
2016-06-28,18133
2016-06-29,17712
2016-06-30,18911
2016-08-01,10432
2016-08-02,8906
2016-08-03,9626
2016-08-04,10063
2016-08-05,11551
2016-08-06,8452
2016-08-07,12235
2016-08-08,10435
2016-08-09,10943
2016-08-10,16040
2016-08-11,14884
2016-08-12,13468
2016-08-13,11736
2016-08-14,8554
2016-08-15,9856
2016-08-16,7144
2016-08-17,7272
2016-08-18,15029
2016-08-19,13382
2016-08-20,8529
2016-08-21,8161
2016-08-22,11254
2016-08-23,9935
2016-08-24,10771
2016-08-25,17023
2016-08-26,14364
2016-08-27,13266
2016-08-28,16207
2016-08-29,14507
2016-08-30,17715
2016-08-31,25067
2016-09-01,15966
2016-09-02,16578
2016-09-03,15994
2016-09-04,13993
2016-09-05,16944
2016-09-06,31333
2016-09-07,24390
2016-09-08,22166
2016-09-09,32438
2016-09-10,23676
2016-09-11,23288
2016-09-12,28323
2016-09-13,27681
2016-09-14,17757
2016-09-15,18105
2016-09-16,12382
2016-09-17,15454
2016-09-18,24401
2016-09-19,18606
2016-09-20,14530
2016-09-21,13889
2016-09-22,12057
2016-09-23,10635
2016-09-24,9839
2016-09-25,10060
2016-09-26,14039
2016-09-27,15617
2016-09-28,19675
2016-09-29,22091
2016-09-30,13313
2016-10-01,11874
2016-10-02,9676
2016-10-03,8382
2016-10-04,9708
2016-10-05,9006
2016-10-06,15072
2016-10-07,17360
2016-10-08,15280
2016-10-09,15249
2016-10-10,12593
2016-10-11,12853
2016-10-12,15454
2016-10-13,12708
2016-10-14,11381
2016-10-15,12108
2016-10-16,16878
2016-10-17,15263
2016-10-18,19046
2016-10-19,16509
2016-10-20,16057
2016-10-21,14112
2016-10-22,13150
2016-10-23,15380
2016-10-24,17418
2016-10-25,13547
2016-10-26,12774
2016-10-27,13320
2016-10-28,10655
2016-10-29,10539
2016-10-30,11545
2016-10-31,15872
2016-11-01,31149
2016-11-02,17521
2016-11-03,23528
2016-11-04,22415
2016-11-05,15922
2016-11-06,14958
2016-11-07,35047
2016-11-08,32558
2016-11-09,16177
2016-11-10,39073
2016-11-11,233277
2016-11-12,44694
2016-11-13,23772
2016-11-14,20084
2016-11-15,20628
2016-11-16,21962
2016-11-17,17829
2016-11-18,15093
2016-11-19,11515
2016-11-20,12459
2016-11-21,13865
2016-11-22,19644
2016-11-23,18760
2016-11-24,19642
2016-11-25,23960
2016-11-26,16270
2016-11-27,14043
2016-11-28,13699
2016-11-29,16303
2016-11-30,13836
2016-12-01,90917
2016-12-02,22160
2016-12-03,12604
2016-12-04,11633
2016-12-05,12497
2016-12-06,11874
2016-12-07,16507
2016-12-08,19065
2016-12-09,13745
2016-12-10,12683
2016-12-11,22158
2016-12-12,99530
2016-12-13,20690
2016-12-14,24834
2016-12-15,18826
2016-12-16,11447
2016-12-17,10895
2016-12-18,11170
2016-12-19,16122
2016-12-20,13020
2016-12-21,14267
2016-12-22,18844
2016-12-23,21366
2016-12-24,16270
2016-12-25,17999
2016-12-26,19966
2016-12-27,85487
2016-12-28,40400
2016-12-29,29478
2016-12-30,23833
2016-12-31,24160
2017-01-01,32182
2017-01-02,31784
2017-01-03,21961
2017-01-04,21346
2017-01-05,747114
2017-01-06,97457
2017-01-07,76601
2017-01-08,62755
2017-01-09,51186
2017-01-10,46143
2017-01-11,165831
2017-01-12,76802
2017-01-13,74951
2017-01-14,81054
2017-01-15,78896
2017-01-16,72666
2017-01-17,75321
2017-01-18,101583
2017-01-19,75087
2017-01-20,81629
2017-01-21,86246
2017-01-22,61330
2017-01-23,38881
2017-01-24,33531
2017-01-25,18211
2017-01-26,11032
2017-01-27,4420
2017-01-28,5067
2017-01-29,6568
2017-01-30,5879
2017-01-31,6355
2017-02-01,7077
2017-02-02,7164
2017-02-03,9908
2017-02-04,9618
2017-02-05,10364
2017-02-06,11222
2017-02-07,11355
2017-02-08,12493
2017-02-09,11379
2017-02-10,10210
2017-02-11,11590
2017-02-12,14608
2017-02-13,15332
2017-02-14,15047
2017-02-15,16181
2017-02-16,20041
2017-02-17,17584
2017-02-18,15929
2017-02-19,16150
2017-02-20,20244
2017-02-21,21178
2017-02-22,17548
2017-02-23,32863
2017-02-24,18044
2017-02-25,18605
2017-02-26,19426
2017-02-27,18339
2017-02-28,20490
2017-03-01,17250
2017-03-02,16450
2017-03-03,18520
2017-03-04,17810
2017-03-05,17569
2017-03-06,18588
2017-03-07,20328
2017-03-08,24624
2017-03-09,20415
2017-03-10,20616
2017-03-11,17630
2017-03-12,20334
2017-03-13,23987
2017-03-14,21575
2017-03-15,26816
2017-03-16,21992
2017-03-17,20173
2017-03-18,19522
2017-03-19,22398
2017-03-20,20891
2017-03-21,22562
2017-03-22,25068
2017-03-23,24854
2017-03-24,25942
2017-03-25,24390
2017-03-26,21205
2017-03-27,23249
2017-03-28,19672
2017-03-29,18674
2017-03-30,21437
2017-03-31,21219
2017-04-01,16371
2017-04-02,21493
2017-04-03,14993
2017-04-04,18973
2017-04-05,21047
2017-04-06,19705
2017-04-07,18653
2017-04-08,20679
2017-04-09,27447
2017-04-10,23746
2017-04-11,22506
2017-04-12,26512
2017-04-13,23705
2017-04-14,19756
2017-04-15,20253
2017-04-16,19478
2017-04-17,25462
2017-04-18,24168
2017-04-19,17223
2017-04-20,18336
2017-04-21,17288
2017-04-22,17710
2017-04-23,18356
2017-04-24,22884
2017-04-25,23964
2017-04-26,22439
2017-04-27,24211
2017-04-28,19992
2017-04-29,17429
2017-04-30,18068
2017-05-01,15273
2017-05-02,17623
2017-05-03,23630
2017-05-04,17954
2017-05-05,17062
2017-05-06,15375
2017-05-07,24013
2017-05-08,17870
2017-05-09,17377
2017-05-10,17624
2017-05-11,19759
2017-05-12,21147
2017-05-13,21772
2017-05-14,19846
2017-05-15,26312
2017-05-16,22473
2017-05-17,39327
2017-05-18,21861
2017-05-19,21159
2017-05-20,16777
2017-05-21,16364
2017-05-22,19645
2017-05-23,19027
2017-05-24,17180
2017-05-25,19947
2017-05-26,18129
2017-05-27,16378
2017-05-28,15590
2017-05-29,12804
2017-05-30,13258
2017-05-31,20611
2017-06-01,14943
2017-06-02,21657
2017-06-03,16529
2017-06-04,17496
2017-06-05,16729
2017-06-06,37620
2017-06-07,26686
2017-06-08,16307
2017-06-09,24585
2017-06-10,26944
2017-06-11,20612
2017-06-12,29405
2017-06-13,25067
2017-06-14,27748
2017-06-15,25964
2017-06-16,21741
2017-06-17,21740
2017-06-18,157544
2017-06-19,44558
2017-06-20,41558
2017-06-21,19745
2017-06-22,19556
2017-06-23,17566
2017-06-24,13879
2017-06-25,13373
2017-06-26,12254
2017-06-27,12034
2017-06-28,11862
2017-06-29,14331
2017-06-30,14704
2017-07-01,11235
2017-07-02,12192
2017-07-03,15308
2017-07-04,14276
2017-07-05,15029
2017-07-06,25201
2017-07-07,22870
2017-07-08,22432
2017-07-09,17739
2017-07-10,27591
2017-07-11,78789
2017-07-12,44831
2017-07-13,36809
2017-07-14,27916
2017-07-15,29359
2017-07-16,28181
2017-07-17,41258
2017-07-18,23719
2017-07-19,24296
2017-07-20,21661
2017-07-21,17788
2017-07-22,24618
2017-07-23,21494
2017-07-24,21141
2017-07-25,21864
2017-07-26,19366
2017-07-27,18574
2017-07-28,20878
2017-07-29,19944
2017-07-30,21295
2017-07-31,21908
2017-08-01,22293
2017-08-02,20082
2017-08-03,19171
2017-08-04,17710
2017-08-05,16092
2017-08-06,17355
2017-08-07,19446
2017-08-08,20048
2017-08-09,22329
2017-08-10,23732
2017-08-11,19846
2017-08-12,20196
2017-08-13,21393
2017-08-14,24131
2017-08-15,26477
2017-08-16,26942
2017-08-17,32524
2017-08-18,65116
2017-08-19,40030
2017-08-20,36002
2017-08-21,37003
2017-08-22,35917
2017-08-23,37615
2017-08-24,44400
2017-08-25,29714
2017-08-26,19647
2017-08-27,24695
2017-08-28,26158
2017-08-29,29629
2017-08-30,29957
2017-08-31,21906
2017-09-01,18744
2017-09-02,22984
2017-09-03,22438
2017-09-04,25427
2017-09-05,24139
2017-09-06,30120
2017-09-07,27445
2017-09-08,27461
2017-09-09,32639
2017-09-10,37256
2017-09-11,34451
2017-09-12,27306
2017-09-13,23173
2017-09-14,37989
2017-09-15,23038
2017-09-16,23871
2017-09-17,23118
2017-09-18,28093
2017-09-19,30059
2017-09-20,28644
2017-09-21,30272
2017-09-22,55595
2017-09-23,43412
2017-09-24,29798
2017-09-25,22986
2017-09-26,18191
2017-09-27,25368
2017-09-28,21259
2017-09-29,29779
2017-09-30,20630
2017-10-01,19539
2017-10-02,17000
2017-10-03,15815
2017-10-04,12107
2017-10-05,10722
2017-10-06,13239
2017-10-07,12305
2017-10-08,19107
2017-10-09,17128
2017-10-10,38630
2017-10-11,32575
2017-10-12,32961
2017-10-13,25693
2017-10-14,37103
2017-10-15,30318
2017-10-16,18859
2017-10-17,19720
2017-10-18,21844
2017-10-19,21217
2017-10-20,18153
2017-10-21,25070
2017-10-22,20277
2017-10-23,21457
2017-10-24,24148
2017-10-25,24813
2017-10-26,25832
2017-10-27,21813
2017-10-28,26525
2017-10-29,39987
2017-10-30,28086
2017-10-31,24830
2017-11-01,24481
2017-11-02,19415
2017-11-03,26575
2017-11-04,32568
2017-11-05,35450
2017-11-06,32155
2017-11-07,43883
2017-11-08,41523
2017-11-09,50895
2017-11-10,71342
2017-11-11,294280
2017-11-12,61246
2017-11-13,56890
2017-11-14,44531
2017-11-15,46505
2017-11-16,41955
2017-11-17,19254
2017-11-18,20676
2017-11-19,18209
2017-11-20,25325
2017-11-21,27281
2017-11-22,23398
2017-11-23,22605
2017-11-24,29426
2017-11-25,54029
2017-11-26,35894
2017-11-27,32518
2017-11-28,30507
2017-11-29,28890
2017-11-30,45931
2017-12-01,33376
2017-12-02,31158
2017-12-03,33555
2017-12-04,37488
2017-12-05,41199
2017-12-06,39349
2017-12-07,39254
2017-12-08,33047
2017-12-09,33203
2017-12-10,38170
