step,feature_name,marginal_contribution,cumulative_performance
1,control_baseline_features_set,0.1251493572672,0.715785190683204
9,"deleted_1_features, control_baseline_features_set",0.011909679202671164,0.715785190683204
5,"deleted_1_features, temp_rolling_median_7",0.00640123561282413,0.7137311484664276
11,"deleted_1_features, temp_lag_365",0.003997887261085742,0.7085660466372594
8,"deleted_1_features, temp_rolling_median_7, temp_lag_365",0.0036871308950909842,0.7038755114805328
3,"dayofweek_x_temp_lag_1, month_x_temp_lag_1",-0.0004558832189502926,0.7088301032426014
4,"embed_0_win90, temp_rolling_max_90",-0.0015001903889979573,0.7073299128536035
7,"deleted_1_features, temp_rolling_mean_365",-0.00240703560226585,0.7001883805854419
2,"fourier_features_order_3, temp_rolling_max_365",-0.006499204221652288,0.7092859864615517
6,"deleted_1_features, dayofweek_x_temp_rolling_mean_7",-0.01113573227871989,0.7025954161877077
10,temp_rolling_max_30_lag_3,-0.011217031307030334,0.7045681593761737
