,importance_mean,importance_std
temp_lag_1,0.509649150348897,0.0
temp_rolling_mean_30,0.032952769750674626,0.0
temp_lag_1_x_month,0.024030839764414003,0.0
temp_rolling_mean_7,0.023108948768108872,0.0
temp_lag_2,0.01607069671568606,0.0
embed_13_win730,0.00537879088975568,0.0
embed_6_win730,0.004785464312913712,0.0
embed_22_win730,0.003910428663864707,0.0
embed_47_win730,0.003514976172930284,0.0
weekofyear,0.0027008504852075177,0.0
embed_60_win730,0.002145780328978386,0.0
temp_rolling_std_30,0.0015699394145762824,0.0
temp_lag_14,0.001298735441673582,0.0
embed_45_win730,0.0011304185780980358,0.0
embed_52_win730,0.0011215440844822844,0.0
embed_61_win730,0.0010208763517208785,0.0
embed_20_win730,0.0009160170430033698,0.0
embed_58_win730,0.0008552814382138951,0.0
embed_41_win730,0.0007163108648022831,0.0
embed_43_win730,0.0006307773430185293,0.0
embed_56_win730,0.0006133517452380222,0.0
embed_10_win730,0.000607241598171826,0.0
embed_23_win730,0.0005377728860982423,0.0
embed_12_win730,0.0005088720061099394,0.0
embed_4_win730,0.00043839020479485846,0.0
embed_57_win730,0.0004380288721476111,0.0
embed_30_win730,0.0003735490827454502,0.0
embed_3_win730,0.00036096671025342975,0.0
embed_46_win730,0.0003087307666940209,0.0
embed_25_win730,0.00027762850905022063,0.0
embed_59_win730,0.0002726054255420829,0.0
embed_50_win730,0.0002427712930830328,0.0
embed_34_win730,0.00023601422360997049,0.0
embed_2_win730,0.00014633845324207861,0.0
embed_37_win730,0.00012967141492503664,0.0
embed_38_win730,0.0,0.0
is_weekend,0.0,0.0
month,-8.72418216313342e-06,0.0
embed_39_win730,-9.305844275608877e-06,0.0
embed_26_win730,-5.6530552799416434e-05,0.0
dayofweek,-8.523926090442391e-05,0.0
embed_28_win730,-8.934357577539132e-05,0.0
embed_14_win730,-0.0001301944297746882,0.0
embed_29_win730,-0.00013111275323174354,0.0
embed_49_win730,-0.00013246632435159889,0.0
embed_44_win730,-0.0001419447950781194,0.0
embed_36_win730,-0.00014333201553107244,0.0
embed_53_win730,-0.00014732429469943575,0.0
temp_rolling_std_7,-0.00017812371781888992,0.0
embed_16_win730,-0.00018407112210805376,0.0
embed_18_win730,-0.00019377139673004695,0.0
embed_63_win730,-0.0001955690578578917,0.0
embed_5_win730,-0.00020522000179545863,0.0
embed_27_win730,-0.00024194139043398621,0.0
embed_35_win730,-0.0002445892900266866,0.0
embed_7_win730,-0.00034173639196821703,0.0
embed_54_win730,-0.00034528450550541656,0.0
embed_40_win730,-0.00040375522390323493,0.0
embed_9_win730,-0.00043204415089825865,0.0
embed_24_win730,-0.0005872496255805437,0.0
embed_33_win730,-0.0005975956492589862,0.0
embed_11_win730,-0.0007264236087576315,0.0
embed_62_win730,-0.0007482757936763118,0.0
embed_0_win730,-0.0007571246945670129,0.0
embed_15_win730,-0.0007984687608204588,0.0
embed_31_win730,-0.0007996922005844009,0.0
embed_48_win730,-0.0008102667972444966,0.0
embed_51_win730,-0.0008183910777233017,0.0
embed_42_win730,-0.0008342729999032406,0.0
embed_17_win730,-0.0008620159050984899,0.0
embed_32_win730,-0.0009267683675026062,0.0
embed_19_win730,-0.0011530384341891242,0.0
temp_lag_365,-0.0012695675757166125,0.0
embed_21_win730,-0.001757842302181678,0.0
embed_8_win730,-0.00181891989407168,0.0
year,-0.0018674646092931013,0.0
temp_lag_1_x_dayofweek,-0.001888596557936828,0.0
temp_lag_7,-0.001968253748910631,0.0
temp_rolling_std_14,-0.0020131185082796765,0.0
embed_55_win730,-0.0021265508517915865,0.0
temp_rolling_mean_14,-0.002906291143190076,0.0
temp_lag_3,-0.0030450531732830743,0.0
embed_1_win730,-0.00428799369881272,0.0
